"","School","AverageDist"
"28","northern-iowa",156.037098227417
"16","villanova",173.210887834663
"57","purdue",234.955962285774
"51","xavier",352.943826486166
"68","middle-tennessee",362.771153782274
"30","green-bay",362.820125089446
"41","chattanooga",364.605275946611
"47","west-virginia",396.780925770089
"65","dayton",401.32731143602
"40","indiana",426.391924978606
"36","fairleigh-dickinson",429.979805133306
"35","north-carolina",453.681382574873
"66","syracuse",457.589304678386
"19","holy-cross",522.471627475265
"56","butler",560.330899740987
"67","michigan-state",573.335461519145
"50","pittsburgh",598.439372811357
"22","cincinnati",640.092025258163
"55","texas-tech",655.22300120967
"6","south-dakota-state",667.211186364355
"59","iowa-state",691.017688813351
"20","southern",712.140572460228
"33","oklahoma",714.778286895901
"27","texas",726.773650956701
"64","fresno-state",762.181286657074
"10","vanderbilt",762.914596693964
"14","iowa",764.807842196209
"54","hampton",775.445508318503
"29","texas-am",792.671422493719
"17","north-carolina-asheville",843.949398549807
"49","wisconsin",893.743026890904
"26","north-carolina-wilmington",1005.61658787391
"58","arkansas-little-rock",1112.48665687512
"24","yale",1170.57436504456
"32","virginia-commonwealth",1260.82424777293
"60","iona",1285.2876855238
"44","notre-dame",1318.8369179459
"37","florida-gulf-coast",1337.2335326189
"39","providence",1340.35402405312
"13","buffalo",1349.60226390197
"48","stephen-f-austin",1367.76980769835
"4","connecticut",1387.27418102574
"23","baylor",1415.80762659187
"1","kansas",1449.26773374359
"2","austin-peay",1466.77849101633
"52","weber-state",1509.50234459527
"15","temple",1512.87435527927
"43","stony-brook",1518.39740377359
"46","tulsa",1521.20234047403
"45","michigan",1523.36134189584
"12","miami-fl",1532.76534370308
"9","arizona",1550.61653368835
"5","maryland",1567.20267093453
"21","saint-josephs",1593.89160668198
"3","colorado",1801.82041456253
"34","cal-state-bakersfield",1830.05389004785
"11","wichita-state",1835.94989319432
"61","seton-hall",1838.11155748931
"25","duke",1907.68450734598
"63","utah",1921.06010129281
"18","oregon",1957.83856905828
"62","gonzaga",2066.69682180423
"53","virginia",2174.36744938176
"42","kentucky",2273.2759771323
"7","california",2278.64082890156
"38","southern-california",2425.7626023653
"31","oregon-state",2751.65101760547
"8","hawaii",3704.05160122482
